month,FFMC,DMC,DC,ISI,temp,RH,wind,rain,fire
7,94.8,222.4,698.6,13.9,23.9,38.0,6.7,0.0,0.0
8,93.5,149.3,728.6,8.1,25.3,36.0,3.6,0.0,0.0
8,89.7,287.2,849.3,6.8,19.4,45.0,3.6,0.0,0.0
7,95.1,141.3,605.8,17.7,24.1,43.0,6.3,0.0,1.0
8,93.3,141.2,713.9,13.9,18.6,49.0,3.6,0.0,1.0
8,92.5,88.0,698.6,7.1,20.3,45.0,3.1,0.0,0.0
8,92.5,121.1,674.4,8.6,18.2,46.0,1.8,0.0,1.0
9,92.6,46.5,691.8,8.8,20.6,24.0,5.4,0.0,0.0
8,90.9,126.5,686.5,7.0,21.3,42.0,2.2,0.0,0.0
8,92.8,119.0,783.5,7.5,21.6,27.0,2.2,0.0,0.0
7,91.1,103.2,638.8,5.8,23.1,31.0,3.1,0.0,0.0
7,93.7,231.1,715.1,8.4,26.9,31.0,3.6,0.0,1.0
8,93.5,149.3,728.6,8.1,22.8,39.0,3.6,0.0,0.0
7,91.6,112.4,573.0,8.9,21.4,42.0,3.1,0.0,1.0
8,90.1,82.9,735.7,6.2,18.3,45.0,2.2,0.0,1.0
0,74.08434830450994,1.1,171.4,0.0,5.2,93.24060887867675,0.9,0.0,0.0
1,84.6,3.2,43.6,3.3,8.2,53.0,9.392559350228172,0.0,1.0
3,81.5,9.1,55.2,2.7,5.8,54.0,5.8,0.0,1.0
8,91.2,124.4,795.3,8.5,17.1,41.0,2.2,0.0,1.0
8,92.2,102.3,751.5,8.4,19.7,35.0,1.8,0.0,0.0
8,92.9,133.3,699.6,9.2,24.3,25.0,4.0,0.0,1.0
8,91.1,132.3,812.1,12.5,16.4,27.0,3.6,0.0,0.0
8,92.9,137.0,706.4,9.2,22.4,34.0,2.2,0.0,0.0
8,92.9,133.3,699.6,9.2,26.4,21.0,4.5,0.0,1.0
7,91.8,175.1,700.7,13.8,22.4,54.0,7.6,0.0,1.0
6,94.6,160.0,567.2,16.7,17.9,48.0,2.7,0.0,0.0
3,91.0,14.6,25.6,12.3,17.6,27.0,5.8,0.0,0.0
6,92.3,92.1,442.1,9.8,22.8,27.0,4.5,0.0,1.0
7,94.8,222.4,698.6,13.9,26.2,34.0,5.8,0.0,0.0
6,89.2,103.9,431.6,6.4,22.6,57.0,4.9,0.0,1.0
7,91.4,142.4,601.4,10.6,19.5,39.0,6.3,0.0,0.0
2,91.2,48.3,97.8,12.5,14.6,26.0,9.392559350228172,0.0,1.0
4,85.1,28.0,113.8,3.5,11.3,93.24060887867675,4.9,0.0,0.0
11,85.4,25.4,349.7,2.6,4.6,21.0,8.5,0.0,1.0
7,91.4,142.4,601.4,10.6,20.1,39.0,5.4,0.0,1.0
7,95.1,141.3,605.8,17.7,20.6,58.0,1.3,0.0,0.0
3,91.0,14.6,25.6,12.3,13.7,33.0,9.392559350228172,0.0,1.0
6,90.0,51.3,296.3,8.7,16.6,53.0,5.4,0.0,1.0
8,91.0,276.3,825.1,7.1,13.8,77.0,7.6,0.0,0.0
7,91.6,181.3,613.0,7.6,19.3,61.0,4.9,0.0,0.0
7,94.8,227.0,706.7,12.0,25.0,36.0,4.0,0.0,0.0
8,92.9,133.3,699.6,9.2,26.4,21.0,4.5,0.0,0.0
1,84.9,27.5,353.5,3.4,4.2,51.0,4.0,0.0,0.0
2,87.6,52.2,103.8,5.0,11.0,46.0,5.8,0.0,0.0
8,92.2,102.3,751.5,8.4,24.1,27.0,3.1,0.0,0.0
7,94.2,117.2,581.1,11.0,23.9,41.0,2.2,0.0,1.0
7,81.6,56.7,665.6,1.9,21.9,71.0,5.8,0.0,1.0
7,91.7,191.4,635.9,7.8,26.2,36.0,4.5,0.0,1.0
7,95.5,99.9,513.3,13.2,23.8,32.0,5.4,0.0,1.0
8,92.5,88.0,698.6,7.1,17.8,51.0,7.2,0.0,0.0
7,93.9,135.7,586.7,15.1,23.5,36.0,5.4,0.0,1.0
9,90.6,35.4,669.1,6.7,21.7,24.0,4.5,0.0,0.0
7,94.8,108.3,647.1,17.0,16.4,47.0,1.3,0.0,1.0
6,90.1,51.2,424.1,6.2,24.6,43.0,1.8,0.0,1.0
6,90.8,84.7,376.6,5.6,23.8,51.0,1.8,0.0,0.0
5,93.1,180.4,430.8,11.0,22.2,48.0,1.3,0.0,0.0
2,89.3,51.3,102.2,9.6,5.5,59.0,6.3,0.0,0.0
7,92.2,91.6,503.6,9.6,20.7,70.0,2.2,0.0,1.0
7,91.1,141.1,629.1,7.1,19.3,39.0,3.6,0.0,1.0
7,85.6,90.4,609.6,6.6,17.4,50.0,4.0,0.0,1.0
8,92.4,96.2,739.4,8.6,18.6,24.0,5.8,0.0,0.0
7,91.8,175.1,700.7,13.8,26.8,38.0,6.3,0.0,1.0
2,88.1,25.7,67.6,3.8,15.8,27.0,7.6,0.0,0.0
8,92.5,121.1,674.4,8.6,17.8,56.0,1.8,0.0,1.0
7,93.5,139.4,594.2,20.3,23.7,32.0,5.8,0.0,0.0
5,93.7,121.7,350.2,18.0,22.7,40.0,9.392559350228172,0.0,1.0
2,91.7,35.8,80.8,7.8,11.6,30.0,6.3,0.0,0.0
7,95.0,135.5,596.3,21.3,30.6,28.0,3.6,0.0,1.0
8,93.5,149.3,728.6,8.1,17.2,43.0,3.1,0.0,0.0
7,95.9,158.0,633.6,11.3,32.4,27.0,2.2,0.0,0.0
8,92.9,137.0,706.4,9.2,27.7,24.0,2.2,0.0,0.0
8,92.4,124.1,680.7,8.5,23.9,32.0,6.7,0.0,1.0
6,93.1,180.4,430.8,11.0,26.9,28.0,5.4,0.0,1.0
7,92.1,207.0,672.6,8.2,26.8,35.0,1.3,0.0,1.0
8,90.3,290.0,855.3,7.4,19.9,44.0,3.1,0.0,1.0
8,90.3,290.0,855.3,7.4,16.2,58.0,3.6,0.0,0.0
7,90.2,99.6,631.2,6.3,21.4,33.0,3.1,0.0,0.0
7,95.2,131.7,578.8,10.4,27.4,22.0,4.0,0.0,1.0
7,91.6,112.4,573.0,8.9,11.2,84.0,7.6,0.0,1.0
7,91.6,248.4,753.8,6.3,20.4,56.0,2.2,0.0,0.0
7,91.0,166.9,752.6,7.1,18.5,73.0,8.5,0.0,0.0
5,94.3,96.3,200.0,22.700094968588164,21.0,44.0,4.5,0.0,0.0
7,89.4,266.2,803.3,5.6,17.4,54.0,3.1,0.0,0.0
6,93.5,85.3,395.0,9.9,27.2,28.0,1.3,0.0,1.0
8,92.4,117.9,668.0,12.2,19.0,34.0,5.8,0.0,0.0
